from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0xaaf7b278bac078aa4f9bdc8e0a93cde604aa67d9,1797600,224.67,8001,130.1,3908541,488.51,5706141,713.18,2,1002,22089632,22523969,292,32.0,32,32.0,32,32.0,32,1.4599158611870773,434337,0.01842113745516165
0x54ab716d465be3d5eeca64e63ac0048d7a81659a,1661400,223.31,7440,130.88,3673398,493.74,5334798,717.04,2,939,22089774,22524203,688,32.0,32,32.0,32,32.0,32,1.4522787892844717,434429,0.017125889096056904
0x000000629fbcf27a347d1aeba658435230d74a5f,1406700,150.0,9378,150.01,7263261,774.5,8669961,924.5,1,1563,22089619,22580868,1555,32.0,32,32.0,32,32.0,32,1.1936733376371853,491249,0.01909007633587786
0xf3b07f6744e06cd5074b7d15ed2c33760837ce1f,745800,223.43,3338,130.82,1646548,493.27,2392348,716.7,2,421,22089827,22524232,335,32.0,32,32.0,32,32.0,32,1.452947621326557,434405,0.007684055929245912
0xfcb73f6405f6b9be91013d9477d81833a69c9c0d,621900,150.0,4146,150.02,3211077,774.5,3832977,924.5,1,691,22089615,22580845,691,32.0,32,32.0,32,32.0,32,1.1936733376371853,491230,0.008440021089874215
0x58d14960e0a2be353edde61ad719196a2b816522,345600,219.99,1571,132.71,795631,506.45,1141231,726.44,2,202,22090069,22580975,192,32.0,32,32.0,32,32.0,32,1.434372215260592,490906,0.0032001988156616225
0x2b711ee00b50d67667c4439c28aeaf7b75cb6e0d,248400,225.0,1104,129.96,537924,487.25,786324,712.25,2,138,22093351,22579455,138,32.0,32,32.0,32,32.0,32,1.4617752693689072,486104,0.00227111426543648
0x3527439923a63f8c13cf72b8fe80a77f6e572092,243600,218.87,1113,133.32,568449,510.74,812049,729.6,1,144,22089912,22449624,144,32.0,32,32.0,32,32.0,32,1.42853448594333,359712,0.00309413337855457
0xc2adcfccee33a417064d1a45d3b202de6d9fa474,123300,150.0,822,150.09,636639,774.5,759939,924.5,1,137,22089816,22580642,137,32.0,32,32.0,32,32.0,32,1.1936733376371853,490826,0.001674724495596208
0x9c0b0dbbae8a976ceea8c2a96f6d00c53839afdc,112500,150.0,750,150.1,580875,774.5,693375,924.5,1,125,22089815,22580808,125,32.0,32,32.0,32,32.0,32,1.1936733376371853,490993,0.0015275135745039653
