op,gas_costs,Bsize,Esize,Msize,B,E,M,tx_hash,tx_index,block_number,eip2565_cost,eip7883_cost,cost_increase,cost_ratio,from_address,to_address,value,gas_used,gas_price,transaction_type,eth_cost_current,eth_cost_eip7883,eth_cost_increase
STATICCALL,1338,32,32,32,0xf5de7ab96efffd1782a8bfb97fc4625b99e36f91e728269718dd4343d03a34a,0xc19139cb84c680a6e14116da060561765e05aa45a1c72a34f082305b61f3f52,0x30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd47,0x9fe365f925476d745a4126d1eac7b534693fa00af9be175b08862e449bf09e81,211,22785670,1338,1338,0,1.0,,,,,,,,,
STATICCALL,200,32,32,32,0x537adb143f1c874cb3893d48ae2a1d98db3a83e820a84e109b8e9060d056961,0x18,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xfe9a1f0a3e60a878d10dd6871fcd806e38e8fd99951c5a6eb672bbcbbc1dca1a,92,22785665,200,500,300,2.5,,,,,,,,,
STATICCALL,200,32,32,32,0x10a6e2e589355f225e1792454ac234accb07bd63bf4548d84814a735df3c7197,0x800000,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xfe9a1f0a3e60a878d10dd6871fcd806e38e8fd99951c5a6eb672bbcbbc1dca1a,92,22785665,200,500,300,2.5,,,,,,,,,
STATICCALL,1349,32,32,32,0x1637c98a00c217da77eacd401c35f57350931242b35db2cf678dcf673ad3f459,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xfe9a1f0a3e60a878d10dd6871fcd806e38e8fd99951c5a6eb672bbcbbc1dca1a,92,22785665,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1349,32,32,32,0x1e7456771e173ad51cc0e5d3535fecc5c16c888873416d3df9738579dea07da1,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xfe9a1f0a3e60a878d10dd6871fcd806e38e8fd99951c5a6eb672bbcbbc1dca1a,92,22785665,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1349,32,32,32,0x105dfd3d85df84563e6f01281c1e2640651162d960bf089a5b7c793e3bc78874,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0xfe9a1f0a3e60a878d10dd6871fcd806e38e8fd99951c5a6eb672bbcbbc1dca1a,92,22785665,1349,1349,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x6303a9250eceee304149de5d2b849ab02e7245ed0e8a7ddc0b2ee55ccc07993,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffff,0xb197abd59f4134cf6daea9fccaeb4bc1a5bae10a9c73ae0bd20cfd35828c9b6e,3,22785659,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x7b9f6e7ba1d6d56e7c43b34b8e7c64f7ede9ffd58293669abb8deb115dcb3561,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xb197abd59f4134cf6daea9fccaeb4bc1a5bae10a9c73ae0bd20cfd35828c9b6e,3,22785659,1360,1360,0,1.0,,,,,,,,,
STATICCALL,1360,32,32,32,0x4f383d8aefee097ccd87d29aab1e09c50ac1e6a06437d7ca0be55b686f5c6361,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xb197abd59f4134cf6daea9fccaeb4bc1a5bae10a9c73ae0bd20cfd35828c9b6e,3,22785659,1360,1360,0,1.0,,,,,,,,,
STATICCALL,200,32,32,32,0xb949709f9583094d3c898264902d4011c6f4e574d5f2c43b9932c51dc04b41e,0x18,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x96a56e87c267f19595f6018b284ca8f4e473ba0fc0e7a8288854691c59c626ac,244,22785659,200,500,300,2.5,,,,,,,,,
STATICCALL,200,32,32,32,0x17cf244aa1334a92e9a8f1c8b4b5a3e4ad0a3baf0251881c5ea4d0da0e7058,0x800000,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x96a56e87c267f19595f6018b284ca8f4e473ba0fc0e7a8288854691c59c626ac,244,22785659,200,500,300,2.5,,,,,,,,,
STATICCALL,1349,32,32,32,0x530e1dfb608f173099e12c3063b7bcf48e51ce6fbb313056449609fcb7fc106,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593efffffff,0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001,0x96a56e87c267f19595f6018b284ca8f4e473ba0fc0e7a8288854691c59c626ac,244,22785659,1349,1349,0,1.0,,,,,,,,,
