entity_id,entity_type,b_size,e_size,m_size,daily_calls,current_gas,eip7883_gas,gas_increase,cost_ratio,monthly_usd_current,monthly_usd_eip7883,monthly_usd_increase
Enterprise_006,Enterprise,256,32,256,500,1365,10922,9557,8.001465201465201,1791.5624999999998,14335.125000000002,12543.562500000002
Enterprise_001,Enterprise,256,32,256,500,1365,10922,9557,8.001465201465201,1791.5624999999998,14335.125000000002,12543.562500000002
Enterprise_004,Enterprise,256,32,256,500,1365,10922,9557,8.001465201465201,1791.5624999999998,14335.125000000002,12543.562500000002
Enterprise_002,Enterprise,256,32,256,500,1365,10922,9557,8.001465201465201,1791.5624999999998,14335.125000000002,12543.562500000002
Enterprise_005,Enterprise,256,32,256,500,1365,10922,9557,8.001465201465201,1791.5624999999998,14335.125000000002,12543.562500000002
Enterprise_003,Enterprise,256,32,256,500,1365,10922,9557,8.001465201465201,1791.5624999999998,14335.125000000002,12543.562500000002
Enterprise_003,Enterprise,512,32,512,200,21845,43690,21845,2.0,11468.624999999998,22937.249999999996,11468.624999999998
Enterprise_004,Enterprise,512,32,512,200,21845,43690,21845,2.0,11468.624999999998,22937.249999999996,11468.624999999998
Enterprise_001,Enterprise,512,32,512,200,21845,43690,21845,2.0,11468.624999999998,22937.249999999996,11468.624999999998
Enterprise_002,Enterprise,512,32,512,200,21845,43690,21845,2.0,11468.624999999998,22937.249999999996,11468.624999999998
High Complexity_005,High Complexity,256,32,256,25,1365,10922,9557,8.001465201465201,89.578125,716.7562499999999,627.178125
High Complexity_003,High Complexity,256,32,256,25,1365,10922,9557,8.001465201465201,89.578125,716.7562499999999,627.178125
High Complexity_001,High Complexity,256,32,256,25,1365,10922,9557,8.001465201465201,89.578125,716.7562499999999,627.178125
High Complexity_004,High Complexity,256,32,256,25,1365,10922,9557,8.001465201465201,89.578125,716.7562499999999,627.178125
High Complexity_002,High Complexity,256,32,256,25,1365,10922,9557,8.001465201465201,89.578125,716.7562499999999,627.178125
High Complexity_002,High Complexity,512,32,512,10,21845,43690,21845,2.0,573.43125,1146.8625,573.43125
High Complexity_003,High Complexity,512,32,512,10,21845,43690,21845,2.0,573.43125,1146.8625,573.43125
High Complexity_001,High Complexity,512,32,512,10,21845,43690,21845,2.0,573.43125,1146.8625,573.43125
DeFi Protocol_005,DeFi Protocol,32,32,32,200,200,500,300,2.5,105.0,262.5,157.5
